Date,AAPL,AC.MX,ALSEA.MX,AMZN,BIMBOA.MX,FEMSAUBD.MX,KO,MSFT,PG,WALMEX.MX
2021-08-31,148.090576171875,104.96926879882812,37.5028190612793,173.5395050048828,47.127098083496094,142.69789123535156,48.567832946777344,289.722412109375,125.22550964355469,62.06290054321289
2021-09-01,148.7538604736328,103.67916870117188,38.36253356933594,173.9499969482422,46.969451904296875,138.16897583007812,48.89558792114258,289.6744384765625,126.50072479248047,61.915283203125
2021-09-02,149.86578369140625,101.13141632080078,40.12973403930664,173.156005859375,46.70979690551758,139.74388122558594,48.96458435058594,289.02178955078125,126.59747314453125,60.516990661621094
2021-09-03,150.49978637695312,100.41738891601562,39.12672805786133,173.90249633789062,45.81956100463867,138.7483673095703,48.930091857910156,289.0122985839844,126.68539428710938,60.48225402832031
2021-09-06,150.49978637695312,100.91233825683594,40.081974029541016,173.90249633789062,46.3388671875,141.2290802001953,48.930091857910156,289.0122985839844,126.68539428710938,61.316001892089844
2021-09-07,152.83091735839844,102.10506439208984,39.83361053466797,175.46449279785156,45.856658935546875,138.10369873046875,48.01581954956055,288.0909423828125,126.21049499511719,61.14230728149414
2021-09-08,151.28981018066406,100.58777618408203,39.64256286621094,176.27499389648438,46.15340042114258,137.55699157714844,48.66271209716797,288.1197814941406,127.16909790039062,61.567867279052734
2021-09-09,150.2754364013672,101.38446044921875,39.12672805786133,174.20799255371094,46.440879821777344,138.31585693359375,48.17970275878906,285.2789001464844,126.63264465332031,62.59269714355469
2021-09-10,145.3010711669922,100.16889190673828,38.31477737426758,173.45750427246094,46.65415954589844,139.80104064941406,47.964080810546875,283.8009338378906,126.7557373046875,61.70683670043945
2021-09-13,145.8667755126953,100.89166259765625,38.63956069946289,172.85850524902344,47.609310150146484,139.84181213378906,48.3608283996582,285.0293884277344,128.118896484375,62.2713508605957
2021-09-14,144.47195434570312,102.09900665283203,38.792396545410156,172.5,51.28155517578125,142.48574829101562,48.395591735839844,287.7166442871094,127.8990478515625,62.21924591064453
2021-09-15,145.35952758789062,102.04973602294922,38.98344421386719,173.7895050048828,51.93069076538086,144.7705841064453,48.56070327758789,292.5440979003906,127.62638854980469,62.13239669799805
2021-09-16,145.1254425048828,102.04973602294922,38.98344421386719,174.41200256347656,51.93069076538086,144.7705841064453,48.10012435913086,292.927978515625,126.73816680908203,62.13239669799805
2021-09-17,142.46270751953125,101.58979797363281,39.499271392822266,173.12600708007812,52.143978118896484,142.2164306640625,47.30931854248047,287.7934265136719,126.9404296875,62.99220657348633
2021-09-20,139.41958618164062,102.05794525146484,38.25746154785156,167.7864990234375,53.7018928527832,141.72683715820312,46.97909927368164,282.44769287109375,125.66521453857422,62.019493103027344
2021-09-21,139.8975067138672,102.53431701660156,39.04075622558594,167.18150329589844,53.674072265625,142.2490997314453,46.970401763916016,282.9275817871094,125.85873413085938,63.34830093383789
2021-09-22,142.25787353515625,102.83821105957031,40.2921257019043,169.00250244140625,54.045013427734375,143.9219512939453,47.0399284362793,286.55535888671875,126.28965759277344,63.36566162109375
2021-09-23,143.21377563476562,102.43577575683594,40.49272918701172,170.8000030517578,54.07283020019531,145.4315948486328,46.96171951293945,287.49591064453125,126.80850219726562,62.818511962890625
2021-09-24,143.301513671875,101.14628601074219,40.13928985595703,171.2760009765625,52.505638122558594,145.10516357421875,46.83136749267578,287.2943420410156,126.24567413330078,62.05422592163086
2021-09-27,141.78970336914062,101.47480773925781,40.46406936645508,170.2899932861328,52.218162536621094,145.56214904785156,46.588035583496094,282.322998046875,124.58349609375,63.47857666015625
2021-09-28,138.41488647460938,102.64929962158203,39.69032287597656,165.79800415039062,51.30010223388672,146.1741485595703,45.74509048461914,272.1018981933594,123.64247131347656,61.35943603515625
2021-09-29,139.31228637695312,102.49325561523438,40.120182037353516,165.05599975585938,53.62771224975586,146.32919311523438,46.023170471191406,272.5625,124.90011596679688,61.89790344238281
2021-09-30,138.01499938964844,103.38850402832031,39.74763870239258,164.2519989013672,53.822452545166016,146.25576782226562,45.59735107421875,270.5663146972656,122.94771575927734,60.907814025878906
2021-10-01,139.13670349121094,101.73762512207031,40.110633850097656,164.16299438476562,53.13622283935547,143.62814331054688,46.07530975341797,277.45709228515625,122.75424194335938,60.93386459350586
2021-10-04,135.713134765625,101.80332946777344,39.16494369506836,159.48899841308594,53.126949310302734,143.77505493164062,46.04924774169922,271.7083740234375,122.0594482421875,59.8656120300293
2021-10-05,137.63462829589844,103.15031433105469,39.317779541015625,161.0500030517578,53.76681137084961,145.05618286132812,46.12746047973633,277.130859375,122.53437805175781,60.01325607299805
2021-10-06,138.50271606445312,103.50347900390625,39.37509536743164,163.10049438476562,55.027984619140625,141.73500061035156,46.67493438720703,281.3056335449219,124.17015838623047,61.54182052612305
2021-10-07,139.76095581054688,102.78072357177734,40.034210205078125,165.1215057373047,54.06355667114258,139.53175354003906,46.82267379760742,282.9756774902344,125.16395568847656,60.82963943481445
2021-10-08,139.38052368164062,102.83821105957031,40.081974029541016,164.43099975585938,54.480857849121094,140.34774780273438,47.03123474121094,282.9756774902344,124.64505767822266,61.13362503051758
2021-10-11,139.29275512695312,104.20980834960938,40.244361877441406,162.31500244140625,53.4051513671875,140.81288146972656,47.1268310546875,282.38055419921875,125.16395568847656,62.175819396972656
2021-10-12,138.02474975585938,104.22624969482422,42.002010345458984,162.3665008544922,51.50411605834961,141.66970825195312,47.1268310546875,281.08489990234375,124.97926330566406,62.52321243286133
2021-10-13,137.4395751953125,103.75808715820312,42.41276931762695,164.21400451660156,52.73747253417969,140.76393127441406,47.135520935058594,284.3767395019531,125.2695083618164,62.51453399658203
2021-10-14,140.21937561035156,103.92235565185547,42.82352066040039,164.9929962158203,53.01567077636719,140.82106018066406,47.457054138183594,290.5574035644531,126.68539428710938,62.670860290527344
2021-10-15,141.27276611328125,103.99626922607422,43.58771514892578,170.4510040283203,53.674072265625,139.972412109375,47.34408187866211,291.9586486816406,127.01081848144531,61.724205017089844
2021-10-18,142.94064331054688,104.99830627441406,43.32979965209961,172.33700561523438,55.29690933227539,140.1763916015625,46.87481689453125,294.9145812988281,125.18150329589844,61.159671783447266
